Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0C1UQ68_9CYAN	A0A0C1UQ68_9CYAN	343	SPASM	-	68	1.9e-16	71.3	4.6	1	1	6.8e-20	4.6e-16	70.1121063232422	4.56	1	68	270	336	270	336	0.88	Radical SAM protein		0
A0A0A7EDL9_9GAMM	A0A0A7EDL9_9GAMM	434	SPASM	-	68	2.5e-16	71.0	1.4	1	1	9.3e-20	6.3e-16	69.6761779785156	1.45	1	68	366	432	366	432	0.89	Uncharacterized protein		0
A0A1T5L724_9BACT	A0A1T5L724_9BACT	339	SPASM	-	68	2.5e-16	71.0	3.9	1	1	9.4e-20	6.4e-16	69.6495742797852	3.86	1	68	266	332	266	332	0.89	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A401UAQ2_9BACT	A0A401UAQ2_9BACT	340	SPASM	-	68	3.7e-16	70.4	5.2	1	1	1.2e-19	8.1e-16	69.3267974853516	5.23	1	68	267	333	267	333	0.88	Radical SAM/SPASM domain-containing protein		0
A0A3N4H520_9BACT	A0A3N4H520_9BACT	334	SPASM	-	68	4.3e-16	70.2	2.1	1	1	1.4e-19	9.3e-16	69.1271133422852	2.12	1	68	267	333	267	333	0.89	Radical SAM protein		0
A1ZRP0_9BACT	A1ZRP0_9BACT	340	SPASM	-	68	7.2e-16	69.5	4.0	1	1	2.8e-19	1.9e-15	68.1477890014648	4.03	1	68	267	333	267	333	0.89	Radical SAM domain protein, putative		0
A0A1G9EX54_9BACT	A0A1G9EX54_9BACT	339	SPASM	-	68	7.3e-16	69.5	4.0	1	1	3.2e-19	2.2e-15	67.9549026489258	4.00	1	68	266	332	266	332	0.89	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A0H4VT65_9BACT	A0A0H4VT65_9BACT	341	SPASM	-	68	1.0e-15	69.0	3.0	1	1	4.3e-19	2.9e-15	67.5404968261719	2.98	1	67	268	333	268	334	0.89	Radical SAM protein		0
A0A2N3IF67_9BACT	A0A2N3IF67_9BACT	339	SPASM	-	68	2.1e-15	68.0	4.3	1	1	8.3e-19	5.7e-15	66.6176147460938	4.26	1	68	266	332	266	332	0.88	Uncharacterized protein		0
F4KT32_HALH1	F4KT32_HALH1	329	SPASM	-	68	2.2e-15	67.9	4.1	1	1	9.3e-19	6.3e-15	66.4663314819336	4.12	1	68	256	322	256	322	0.87	Radical SAM domain protein		0
A0A364Y8J8_9BACT	A0A364Y8J8_9BACT	338	SPASM	-	68	3.1e-15	67.5	3.5	1	1	9.5e-19	6.4e-15	66.4359817504883	3.53	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A2W1JP24_9CYAN	A0A2W1JP24_9CYAN	351	SPASM	-	68	3.1e-15	67.4	4.8	1	1	1.1e-18	7.3e-15	66.2583236694336	3.92	1	67	281	346	281	347	0.89	Mycofactocin radical SAM maturase MftC		0
A0A257IRC7_9BACT	A0A257IRC7_9BACT	337	SPASM	-	68	4.5e-15	66.9	2.4	1	1	1.4e-18	9.7e-15	65.8718948364258	2.42	1	68	264	330	264	330	0.89	Radical SAM protein		0
A0A4Q8QWI4_9BRAD	A0A4Q8QWI4_9BRAD	361	SPASM	-	68	4.6e-15	66.9	0.4	1	1	1.8e-18	1.2e-14	65.5713195800781	0.15	1	67	286	355	286	356	0.87	Radical SAM protein		0
A0A1Q3GPR5_9BACT	A0A1Q3GPR5_9BACT	340	SPASM	-	68	6.9e-15	66.3	3.8	1	1	1.0e-18	6.9e-15	66.3371200561523	3.75	1	68	267	333	267	333	0.87	Radical SAM protein		0
A0A1V3R314_9BACT	A0A1V3R314_9BACT	334	SPASM	-	68	8.3e-15	66.1	1.0	1	1	2.9e-18	1.9e-14	64.9075393676758	1.04	1	68	267	333	267	333	0.88	Radical SAM protein		0
K1LF58_9BACT	K1LF58_9BACT	318	SPASM	-	68	9.1e-15	66.0	2.8	1	1	2.7e-18	1.8e-14	64.9983062744141	2.79	1	67	251	316	251	317	0.88	Pyrroloquinoline quinone biosynthesis protein PqqE		0
A0A0A7LHK9_9BACT	A0A0A7LHK9_9BACT	339	SPASM	-	68	9.1e-15	66.0	2.2	1	1	3.1e-18	2.1e-14	64.7738952636719	2.20	1	68	266	332	266	332	0.88	Radical SAM protein		0
A0A076HQC9_9BACT	A0A076HQC9_9BACT	340	SPASM	-	68	1.0e-14	65.8	2.3	1	1	3.7e-18	2.5e-14	64.5424194335938	2.25	1	68	267	333	267	333	0.88	Radical SAM protein		0
