Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
U6RBN1_9BACE	U6RBN1_9BACE	462	SPASM	-	68	1.9e-08	45.7	4.1	1	1	5.8e-12	3.9e-08	44.7080039978027	1.48	1	68	354	416	354	416	0.85	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A318Y3L4_9FIRM	A0A318Y3L4_9FIRM	488	SPASM	-	68	6.0e-07	40.9	1.1	1	1	8.8e-11	6.0e-07	40.9173011779785	1.09	5	68	388	450	386	450	0.83	Radical SAM protein with 4Fe4S-binding SPASM domain		0
A0A369BCX7_9FIRM	A0A369BCX7_9FIRM	490	SPASM	-	68	6.0e-07	40.9	5.1	1	1	1.3e-10	8.8e-07	40.3676872253418	1.83	7	68	393	453	390	453	0.80	Radical SAM protein with 4Fe4S-binding SPASM domain		0
A0A3N2M918_9BACT	A0A3N2M918_9BACT	467	SPASM	-	68	6.8e-07	40.7	4.1	1	1	1.0e-10	6.8e-07	40.727912902832	4.13	1	68	364	426	364	426	0.84	Radical SAM protein		0
A0A0M9DWE2_9DELT	A0A0M9DWE2_9DELT	447	SPASM	-	68	1.3e-06	39.9	2.7	1	1	1.3e-09	9.1e-06	37.129711151123	1.77	5	67	337	398	334	399	0.81	Radical SAM domain-containing protein		0
A0A1V1PDH1_9DELT	A0A1V1PDH1_9DELT	463	SPASM	-	68	1.6e-06	39.6	0.6	1	1	5.7e-10	3.9e-06	38.3082847595215	0.62	5	67	340	401	337	402	0.78	Radical SAM domain-containing protein		0
A0A2K8UHN0_9GAMM	A0A2K8UHN0_9GAMM	474	SPASM	-	68	2.4e-06	39.0	0.9	1	1	8.7e-10	5.9e-06	37.7299461364746	0.92	1	67	361	422	361	432	0.77	Uncharacterized protein		0
H1HQ64_9BACT	H1HQ64_9BACT	497	SPASM	-	68	3.0e-06	38.7	3.4	1	1	1.4e-09	9.4e-06	37.0848693847656	3.42	1	67	392	453	392	454	0.86	Radical SAM additional 4Fe4S-binding domain-containing protein		0
A0A161X4T4_9CLOT	A0A161X4T4_9CLOT	479	SPASM	-	68	3.8e-05	35.1	6.5	1	1	5.6e-09	3.8e-05	35.1368637084961	6.46	1	67	370	431	370	441	0.82	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA		0
A0A1H3K346_9PSEU	A0A1H3K346_9PSEU	454	SPASM	-	68	4.1e-05	35.0	0.0	1	1	1.1e-08	7.4e-05	34.2168960571289	0.03	1	67	338	403	338	404	0.76	PqqA peptide cyclase		0
A0A0H4P226_9BACI	A0A0H4P226_9BACI	447	SPASM	-	68	5.4e-05	34.6	1.6	1	1	2.4e-08	0.00016	33.0963516235352	0.06	1	68	344	408	344	417	0.83	Radical SAM domain heme biosynthesis protein		0
A0A3Q9HS22_9FIRM	A0A3Q9HS22_9FIRM	432	SPASM	-	68	5.8e-05	34.5	0.4	1	1	8.6e-09	5.8e-05	34.5401000976562	0.37	1	68	341	401	341	409	0.88	Elp3 domain-containing protein		0
A0A2N3UYU2_9ACTN	A0A2N3UYU2_9ACTN	463	SPASM	-	68	5.9e-05	34.5	0.0	1	1	2.9e-08	0.0002	32.8431205749512	0.01	1	68	344	410	344	410	0.80	PqqA peptide cyclase		0
A0A4V2Q3C6_9GAMM	A0A4V2Q3C6_9GAMM	491	SPASM	-	68	6.3e-05	34.4	4.4	1	1	9.2e-09	6.3e-05	34.4416351318359	4.42	1	67	381	442	381	451	0.81	Radical SAM protein with 4Fe4S-binding SPASM domain		0
A0A2N3Y2G0_SACSN	A0A2N3Y2G0_SACSN	454	SPASM	-	68	0.00013	33.4	0.0	1	1	3.6e-08	0.00024	32.550853729248	0.02	1	67	338	403	338	404	0.77	PqqA peptide cyclase		0
A0A1V4I7B8_9FIRM	A0A1V4I7B8_9FIRM	429	SPASM	-	68	0.00017	33.1	3.1	1	1	8.3e-08	0.00056	31.3946514129639	3.12	1	68	340	401	340	410	0.84	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA		0
A0A1I5CTH9_9FIRM	A0A1I5CTH9_9FIRM	404	SPASM	-	68	0.00032	32.2	4.7	1	1	1.3e-07	0.00091	30.7122325897217	4.73	1	67	299	361	299	370	0.81	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
R5X2A7_9CLOT	R5X2A7_9CLOT	455	SPASM	-	68	0.0006	31.3	0.2	1	1	2.4e-07	0.0016	29.9245872497559	0.24	1	68	343	405	343	405	0.81	Six-Cys-in-45 modification radical SAM protein		0
N2B2P2_9FIRM	N2B2P2_9FIRM	484	SPASM	-	68	0.00062	31.2	6.7	1	1	4.0e-07	0.0027	29.1897449493408	6.80	1	68	370	432	370	441	0.81	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
W9DUM7_METTI	W9DUM7_METTI	459	SPASM	-	68	0.0015	30.0	1.3	1	1	2.2e-07	0.0015	30.0211868286133	1.26	4	68	367	427	364	427	0.81	Radical SAM additional 4Fe4S-binding domain		0
A0A1M5J7V7_9FIRM	A0A1M5J7V7_9FIRM	458	SPASM	-	68	0.0016	29.9	0.7	1	1	6.3e-07	0.0043	28.5569000244141	0.67	1	68	345	407	345	407	0.80	Uncharacterized protein		0
A0A2L0EMT8_SORCE	A0A2L0EMT8_SORCE	503	SPASM	-	68	0.0027	29.2	0.0	1	1	6.6e-07	0.0044	28.5088863372803	0.04	1	68	377	443	377	443	0.77	PqqA peptide cyclase		0
A0A0B3VXS1_9FIRM	A0A0B3VXS1_9FIRM	457	SPASM	-	68	0.0079	27.7	1.1	1	1	5.8e-06	0.039	25.4859848022461	0.48	1	68	345	407	345	407	0.78	Radical SAM protein		0
