Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A142EJP3_9BACT	A0A142EJP3_9BACT	259	SPASM	-	68	2.0e-16	71.3	1.1	1	1	6.0e-20	4.1e-16	70.2736511230469	1.08	1	68	192	258	192	258	0.88	Radical SAM protein		0
A0A0N0V1B3_9DELT	A0A0N0V1B3_9DELT	135	SPASM	-	68	2.3e-14	64.7	4.6	1	1	5.2e-18	3.6e-14	64.0610885620117	4.58	1	68	44	111	44	111	0.91	Radical SAM domain protein		0
A0A1V4SI90_RUMHU	A0A1V4SI90_RUMHU	344	SPASM	-	68	1.3e-13	62.2	1.2	1	1	4.7e-17	3.2e-13	61.0197677612305	1.25	1	68	269	334	269	334	0.91	S-adenosyl-L-methionine-dependent 2-deoxy-scyllo-inosamine dehydrogenase		0
A0A286TTJ8_9BACT	A0A286TTJ8_9BACT	162	SPASM	-	68	2.4e-12	58.2	2.3	1	1	7.8e-16	5.3e-12	57.1089515686035	2.25	1	67	97	156	97	157	0.91	Fe-S oxidoreductase		0
A0A1C3FCE5_9BACT	A0A1C3FCE5_9BACT	95	SPASM	-	68	5.2e-12	57.1	0.4	1	1	1.0e-15	7.0e-12	56.7192077636719	0.40	1	68	17	88	17	88	0.82	SPASM domain-containing protein		0
A0A1C3EIK4_9GAMM	A0A1C3EIK4_9GAMM	137	SPASM	-	68	5.6e-12	57.0	0.2	1	1	1.6e-15	1.1e-11	56.1072845458984	0.24	1	67	64	127	64	128	0.86	SPASM domain-containing protein		0
A0A286TWP1_9BACT	A0A286TWP1_9BACT	253	SPASM	-	68	7.3e-12	56.6	5.9	1	1	1.7e-15	1.1e-11	56.048755645752	2.46	1	67	179	245	179	247	0.81	Fe-S oxidoreductases		0
A0A418WKY5_9SPHN	A0A418WKY5_9SPHN	258	SPASM	-	68	1.1e-11	56.1	0.0	1	1	3.4e-15	2.3e-11	55.0468902587891	0.05	1	68	167	244	167	244	0.80	SPASM domain-containing protein		0
A0A286TTI6_9BACT	A0A286TTI6_9BACT	400	SPASM	-	68	2.0e-11	55.2	2.4	1	1	3.0e-15	2.0e-11	55.2419738769531	2.40	1	68	276	337	276	337	0.93	Fe-S oxidoreductase		0
A0A081P040_9BACL	A0A081P040_9BACL	334	SPASM	-	68	4.9e-11	54.0	1.2	1	1	1.7e-14	1.1e-10	52.8208465576172	1.17	1	67	263	324	263	325	0.89	Radical SAM protein		0
D5V6E1_ARCNC	D5V6E1_ARCNC	358	SPASM	-	68	5.6e-11	53.8	5.5	1	1	8.2e-15	5.6e-11	53.82421875	5.49	1	67	284	349	284	350	0.87	Radical SAM domain protein		0
A0A401UCY4_9BACT	A0A401UCY4_9BACT	266	SPASM	-	68	6.5e-11	53.6	0.9	1	1	2.2e-14	1.5e-10	52.4697036743164	0.25	1	67	183	248	183	249	0.85	Radical SAM/SPASM domain-containing protein		0
A0A1E3X699_9BACT	A0A1E3X699_9BACT	163	SPASM	-	68	8.7e-11	53.2	6.0	1	1	1.3e-14	8.7e-11	53.1969032287598	5.96	1	67	89	156	89	157	0.83	Radical SAM domain protein		0
Q8R6P4_CALS4	Q8R6P4_CALS4	276	SPASM	-	68	1.0e-10	53.0	4.0	1	1	3.6e-14	2.5e-10	51.752368927002	3.99	1	68	140	204	140	204	0.88	Predicted Fe-S oxidoreductases		0
A0A2P7TEX2_9SPHI	A0A2P7TEX2_9SPHI	124	SPASM	-	68	1.3e-10	52.6	2.7	1	1	2.0e-14	1.3e-10	52.5925369262695	2.70	1	67	32	97	32	98	0.86	SPASM domain-containing protein		0
W4LL92_9BACT	W4LL92_9BACT	274	SPASM	-	68	1.4e-10	52.5	1.9	1	1	5.2e-14	3.5e-10	51.263801574707	0.98	1	68	201	267	201	267	0.88	SPASM domain-containing protein		0
A0A0C9PSS5_9BACT	A0A0C9PSS5_9BACT	184	SPASM	-	68	1.5e-10	52.5	1.5	1	1	3.8e-14	2.6e-10	51.6925048828125	1.53	1	68	116	174	116	174	0.89	Radical SAM domain-containing protein		0
A0A4Q0XNY6_9PROT	A0A4Q0XNY6_9PROT	269	SPASM	-	68	1.5e-10	52.4	0.3	1	1	5.0e-14	3.4e-10	51.315357208252	0.27	1	68	192	258	192	258	0.89	Radical SAM protein		0
A0A345IW92_9PROT	A0A345IW92_9PROT	260	SPASM	-	68	2.0e-10	52.1	1.9	1	1	1.2e-13	7.8e-10	50.1493148803711	0.37	1	68	187	253	187	253	0.87	Radical SAM superfamily protein (SPASM domain)		0
W4MBH6_9BACT	W4MBH6_9BACT	275	SPASM	-	68	2.2e-10	51.9	1.5	1	1	1.3e-13	8.6e-10	50.0238265991211	0.85	1	68	201	267	201	267	0.88	SPASM domain-containing protein		0
A0A1V1NV67_9DELT	A0A1V1NV67_9DELT	101	SPASM	-	68	2.5e-10	51.7	1.2	1	1	4.8e-14	3.2e-10	51.3767967224121	1.19	8	68	1	61	1	61	0.89	SPASM domain-containing protein		0
A0A329ZS01_9HELI	A0A329ZS01_9HELI	288	SPASM	-	68	2.5e-10	51.7	0.1	1	1	9.5e-14	6.5e-10	50.4139137268066	0.10	1	67	212	277	212	278	0.84	SPASM domain-containing protein		0
L1QHI4_9CLOT	L1QHI4_9CLOT	260	SPASM	-	68	2.9e-10	51.5	0.4	1	1	9.9e-14	6.7e-10	50.3616943359375	0.39	1	67	187	252	187	253	0.87	SPASM domain-containing protein		0
I7HCW8_9HELI	I7HCW8_9HELI	322	SPASM	-	68	3.2e-10	51.4	0.8	1	1	1.0e-13	7.1e-10	50.289005279541	0.79	1	67	251	316	251	317	0.87	Putative radical SAM domain-containing protein		0
A0A0D3V6D1_9BACL	A0A0D3V6D1_9BACL	260	SPASM	-	68	4.2e-10	51.0	2.9	1	1	6.2e-14	4.2e-10	51.0107955932617	2.86	1	68	161	231	161	231	0.88	SPASM domain-containing protein		0
U7DBW6_9BACT	U7DBW6_9BACT	192	SPASM	-	68	4.7e-10	50.9	3.2	1	1	7.5e-13	5.1e-09	47.5409698486328	2.01	1	67	125	186	125	187	0.92	SPASM domain-containing protein		0
