Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1M5WGI6_9BACT	A0A1M5WGI6_9BACT	340	SPASM	-	68	6.9e-17	72.7	4.4	1	1	2.5e-20	1.7e-16	71.5078964233398	4.37	1	68	267	333	267	333	0.89	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A1I1KSG8_9BACT	A0A1I1KSG8_9BACT	342	SPASM	-	68	7.5e-16	69.4	3.5	1	1	2.8e-19	1.9e-15	68.1572494506836	3.49	1	68	269	335	269	335	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
M7NBZ1_9BACT	M7NBZ1_9BACT	339	SPASM	-	68	4.8e-15	66.8	3.5	1	1	1.7e-18	1.1e-14	65.6349411010742	3.46	1	68	266	332	266	332	0.89	Pyrroloquinoline quinone biosynthesis protein PqqE		0
A0A1G9NLW2_9BACT	A0A1G9NLW2_9BACT	341	SPASM	-	68	5.2e-15	66.7	3.0	1	1	1.8e-18	1.2e-14	65.5175399780273	3.03	1	68	268	334	268	334	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
I2EYZ5_EMTOG	I2EYZ5_EMTOG	340	SPASM	-	68	8.5e-15	66.1	3.2	1	1	3.5e-18	2.3e-14	64.6380920410156	3.17	1	68	267	333	267	333	0.88	Radical SAM domain protein		0
A0A239EYB5_9BACT	A0A239EYB5_9BACT	340	SPASM	-	68	9.6e-15	65.9	5.4	1	1	3.3e-18	2.2e-14	64.7202453613281	5.36	1	68	267	333	267	333	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
F8ED55_RUNSL	F8ED55_RUNSL	340	SPASM	-	68	1.2e-14	65.6	3.4	1	1	1.8e-18	1.2e-14	65.5560073852539	3.37	1	68	267	333	267	333	0.89	Radical SAM domain protein		0
A0A127B5U5_9BACT	A0A127B5U5_9BACT	341	SPASM	-	68	1.6e-14	65.2	2.8	1	1	2.3e-18	1.6e-14	65.1942977905273	2.77	1	67	268	333	268	334	0.89	Radical SAM protein		0
A0A399S7W8_9BACT	A0A399S7W8_9BACT	340	SPASM	-	68	2.2e-14	64.7	3.6	1	1	6.3e-18	4.3e-14	63.7986297607422	3.55	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A1I1RQQ5_9BACT	A0A1I1RQQ5_9BACT	340	SPASM	-	68	4.2e-14	63.8	2.3	1	1	1.5e-17	1.0e-13	62.590503692627	2.25	1	68	267	333	267	333	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A0Q5SXL5_9BACT	A0A0Q5SXL5_9BACT	340	SPASM	-	68	4.6e-14	63.7	3.8	1	1	1.8e-17	1.2e-13	62.3139419555664	3.76	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A369QN17_9BACT	A0A369QN17_9BACT	340	SPASM	-	68	5.4e-14	63.5	2.8	1	1	8.0e-18	5.4e-14	63.476318359375	2.77	1	68	267	333	267	333	0.92	Putative mycofactocin radical SAM maturase MftC		0
I2GNF5_9BACT	I2GNF5_9BACT	345	SPASM	-	68	6.2e-14	63.3	2.7	1	1	2.2e-17	1.5e-13	62.0577011108398	2.71	1	68	272	338	272	338	0.88	Radical SAM domain protein		0
A0A2T7Q741_9BACT	A0A2T7Q741_9BACT	343	SPASM	-	68	6.5e-14	63.2	3.2	1	1	9.6e-18	6.5e-14	63.2180213928223	3.17	1	67	269	334	269	335	0.88	Radical SAM protein		0
L8JYJ3_9BACT	L8JYJ3_9BACT	340	SPASM	-	68	7.9e-14	62.9	4.2	1	1	3.3e-17	2.3e-13	61.4860420227051	4.18	1	68	267	333	267	333	0.88	Putative Fe-S oxidoreductase, SAM radical superfamily		0
L0FTJ0_ECHVK	L0FTJ0_ECHVK	339	SPASM	-	68	1.0e-13	62.6	1.3	1	1	2.9e-17	2.0e-13	61.6792030334473	1.29	1	67	272	337	272	338	0.88	Putative Fe-S oxidoreductase		0
A0A1H6VE66_9BACT	A0A1H6VE66_9BACT	340	SPASM	-	68	1.3e-13	62.3	3.5	1	1	5.0e-17	3.4e-13	60.9252548217773	3.54	1	68	267	333	267	333	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A191TKA3_9BACT	A0A191TKA3_9BACT	342	SPASM	-	68	1.4e-13	62.2	3.0	1	1	2.0e-17	1.4e-13	62.1763114929199	3.00	1	67	268	333	268	334	0.88	Radical SAM protein		0
D0LQG8_HALO1	D0LQG8_HALO1	366	SPASM	-	68	1.4e-13	62.2	0.5	1	1	4.3e-17	2.9e-13	61.1410217285156	0.54	1	68	271	335	271	335	0.93	Radical SAM domain protein		0
A0A3D8YIB6_9BACT	A0A3D8YIB6_9BACT	340	SPASM	-	68	1.4e-13	62.1	3.6	1	1	4.9e-17	3.3e-13	60.943244934082	3.61	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A4V1RWS6_9BACT	A0A4V1RWS6_9BACT	341	SPASM	-	68	1.5e-13	62.1	1.8	1	1	5.2e-17	3.5e-13	60.8704566955566	1.82	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A1P9WYE0_9BACT	A0A1P9WYE0_9BACT	345	SPASM	-	68	1.6e-13	61.9	1.9	1	1	5.9e-17	4.0e-13	60.6823577880859	1.94	1	68	272	338	272	338	0.89	Radical SAM protein		0
A0A4R5DZ22_9BACT	A0A4R5DZ22_9BACT	340	SPASM	-	68	1.8e-13	61.8	4.1	1	1	6.6e-17	4.5e-13	60.5286598205566	4.11	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A2A3UA29_9SPHI	A0A2A3UA29_9SPHI	337	SPASM	-	68	2.0e-13	61.7	5.5	1	1	8.4e-17	5.7e-13	60.2095069885254	5.54	1	68	264	330	264	330	0.89	Radical SAM protein		0
A0A0E3ZSC3_9BACT	A0A0E3ZSC3_9BACT	341	SPASM	-	68	2.4e-13	61.4	1.8	1	1	8.2e-17	5.6e-13	60.2289123535156	1.85	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A1I2E6H3_9BACT	A0A1I2E6H3_9BACT	340	SPASM	-	68	2.7e-13	61.2	3.5	1	1	9.7e-17	6.6e-13	60.0026550292969	3.47	1	68	267	333	267	333	0.89	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A180EKC3_9BACT	A0A180EKC3_9BACT	343	SPASM	-	68	3.1e-13	61.0	1.7	1	1	1.4e-16	9.7e-13	59.4654846191406	1.67	1	68	268	334	268	334	0.88	Radical SAM protein		0
A0A150XIP9_9BACT	A0A150XIP9_9BACT	340	SPASM	-	68	3.2e-13	61.0	3.9	1	1	1.2e-16	8.1e-13	59.7170066833496	3.86	1	67	267	332	267	333	0.89	Radical SAM protein		0
A0A2G0CD97_9BACT	A0A2G0CD97_9BACT	345	SPASM	-	68	3.2e-13	61.0	1.6	1	1	1.6e-16	1.1e-12	59.3385543823242	1.59	1	68	268	334	268	334	0.88	Radical SAM protein		0
A0A0E3UZQ9_9BACT	A0A0E3UZQ9_9BACT	340	SPASM	-	68	3.4e-13	60.9	4.2	1	1	1.0e-16	6.8e-13	59.955696105957	4.16	1	68	267	333	267	333	0.88	Radical SAM protein		0
A0A1I7I2Z1_9BACT	A0A1I7I2Z1_9BACT	340	SPASM	-	68	4.2e-13	60.6	4.5	1	1	1.2e-16	8.3e-13	59.6777114868164	4.49	1	68	267	333	267	333	0.90	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A0N0CZI8_9BACT	A0A0N0CZI8_9BACT	340	SPASM	-	68	5.2e-13	60.3	3.4	1	1	7.6e-17	5.2e-13	60.3394432067871	3.41	1	68	267	333	267	333	0.88	Radical SAM protein		0
H2J482_MARPK	H2J482_MARPK	363	SPASM	-	68	5.3e-13	60.3	0.7	1	1	2.7e-16	1.8e-12	58.5837860107422	0.73	1	68	250	328	250	328	0.81	Putative Fe-S oxidoreductase		0
A0A2T5RBV5_9DELT	A0A2T5RBV5_9DELT	558	SPASM	-	68	6.1e-13	60.1	0.1	1	1	9.0e-17	6.1e-13	60.1122665405273	0.15	1	68	443	521	443	521	0.85	Putative metalloenzyme radical SAM/SPASM domain maturase		0
A0A2S7JX52_9BURK	A0A2S7JX52_9BURK	317	SPASM	-	68	6.3e-13	60.1	0.5	1	1	2.1e-16	1.5e-12	58.8973922729492	0.50	1	67	227	291	227	292	0.88	Uncharacterized protein		0
A0A1H9F9A8_9BACT	A0A1H9F9A8_9BACT	345	SPASM	-	68	8.0e-13	59.7	3.2	1	1	1.7e-16	1.1e-12	59.258415222168	2.07	1	68	268	334	268	334	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A1S2VLC9_9BACT	A0A1S2VLC9_9BACT	344	SPASM	-	68	9.6e-13	59.5	3.2	1	1	3.4e-16	2.3e-12	58.2620811462402	3.21	1	68	271	337	271	337	0.88	Radical SAM protein		0
A6TLY7_ALKMQ	A6TLY7_ALKMQ	358	SPASM	-	68	1.1e-12	59.3	0.3	1	1	5.2e-16	3.5e-12	57.6692657470703	0.33	1	68	246	324	246	324	0.83	Radical SAM domain protein		0
A0A1M7I7Z7_9FIRM	A0A1M7I7Z7_9FIRM	374	SPASM	-	68	1.5e-12	58.9	3.0	1	1	2.8e-14	1.9e-10	52.106803894043	0.91	1	68	296	359	296	359	0.88	Radical SAM additional 4Fe4S-binding SPASM domain-containing protein		0
A0A1Q3GIX1_9BACT	A0A1Q3GIX1_9BACT	356	SPASM	-	68	1.5e-12	58.9	0.6	1	1	4.9e-16	3.3e-12	57.762622833252	0.62	1	68	279	341	279	341	0.92	Uncharacterized protein		0
A0A1N6TDP5_9FIRM	A0A1N6TDP5_9FIRM	433	SPASM	-	68	1.5e-12	58.8	3.9	1	1	3.8e-16	2.6e-12	58.0909576416016	0.75	1	67	322	402	322	403	0.81	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family		0
E4RMV3_HALHG	E4RMV3_HALHG	433	SPASM	-	68	1.7e-12	58.6	0.9	1	1	1.2e-15	8.2e-12	56.4891395568848	0.82	1	67	322	402	322	403	0.78	Radical SAM domain protein		0
A0A2T2YIC7_9BACT	A0A2T2YIC7_9BACT	340	SPASM	-	68	1.9e-12	58.5	2.6	1	1	2.8e-16	1.9e-12	58.5132522583008	2.57	1	68	267	333	267	333	0.91	Radical SAM protein		0
A0A1E5L9D4_9BACL	A0A1E5L9D4_9BACL	342	SPASM	-	68	2.1e-12	58.4	2.1	1	1	5.9e-16	4.0e-12	57.4816703796387	0.96	1	68	255	322	255	322	0.86	Elp3 domain-containing protein		0
A0A098SAB3_9BACT	A0A098SAB3_9BACT	342	SPASM	-	68	2.4e-12	58.2	1.8	1	1	3.5e-16	2.4e-12	58.2023963928223	1.79	1	68	267	333	267	333	0.87	Radical SAM protein		0
A0A081BQH4_9BACT	A0A081BQH4_9BACT	390	SPASM	-	68	2.9e-12	57.9	0.7	1	1	1.3e-15	8.8e-12	56.3880882263184	0.69	1	67	321	384	321	385	0.86	Radical SAM domain protein		0
A0A4Q1CJ09_9BACT	A0A4Q1CJ09_9BACT	343	SPASM	-	68	4.0e-12	57.5	2.7	1	1	6.0e-16	4.0e-12	57.4765815734863	2.74	1	67	269	334	269	335	0.88	Radical SAM protein		0
A1ZFU8_9BACT	A1ZFU8_9BACT	354	SPASM	-	68	4.1e-12	57.5	0.4	1	1	1.7e-15	1.1e-11	56.0494804382324	0.42	1	68	278	340	278	340	0.92	Elongator protein 3/MiaB/NifB, putative		0
W4D031_9BACL	W4D031_9BACL	362	SPASM	-	68	8.8e-12	56.4	0.1	1	1	3.1e-15	2.1e-11	55.1890068054199	0.12	1	67	295	356	295	357	0.93	Radical SAM protein		0
A0A0M9DWL1_9DELT	A0A0M9DWL1_9DELT	340	SPASM	-	68	1.3e-11	55.9	2.6	1	1	6.3e-15	4.2e-11	54.205738067627	2.58	1	67	267	332	267	333	0.85	Radical SAM additional 4Fe4S-binding domain-containing protein		0
A0A0A8WRK1_9DELT	A0A0A8WRK1_9DELT	336	SPASM	-	68	1.4e-11	55.7	2.0	1	1	2.1e-15	1.4e-11	55.7276992797852	1.97	1	67	261	327	260	328	0.85	Putative mycofactocin radical SAM maturase MftC		0
A0A371PN12_9BACL	A0A371PN12_9BACL	380	SPASM	-	68	1.5e-11	55.7	1.1	1	1	1.3e-13	8.8e-10	49.9776039123535	0.48	1	68	309	371	309	371	0.89	Radical SAM protein		0
A0A166YTD9_9GAMM	A0A166YTD9_9GAMM	360	SPASM	-	68	1.6e-11	55.6	0.2	1	1	5.7e-15	3.8e-11	54.3427314758301	0.19	1	67	287	350	287	351	0.85	Uncharacterized protein		0
A0A0C9NM85_9BACT	A0A0C9NM85_9BACT	340	SPASM	-	68	1.7e-11	55.5	0.9	1	1	5.2e-15	3.5e-11	54.4648742675781	0.93	1	67	252	313	252	314	0.90	Heme biosynthesis protein		0
A0A2V2YZG4_9BACL	A0A2V2YZG4_9BACL	362	SPASM	-	68	1.9e-11	55.3	0.3	1	1	6.0e-15	4.0e-11	54.2724647521973	0.30	1	67	295	356	295	357	0.94	Radical SAM protein with 4Fe4S-binding SPASM domain		0
I4C6E8_DESTA	I4C6E8_DESTA	403	SPASM	-	68	2.8e-11	54.8	1.4	1	1	1.2e-14	8.1e-11	53.3098831176758	1.41	1	67	335	397	335	398	0.88	Putative Fe-S oxidoreductase		0
E0IGA5_9BACL	E0IGA5_9BACL	380	SPASM	-	68	4.0e-11	54.3	1.1	1	1	1.3e-14	8.6e-11	53.2185859680176	0.46	1	68	309	371	309	371	0.87	Radical SAM domain protein		0
A0A1E3XFJ4_9BACT	A0A1E3XFJ4_9BACT	408	SPASM	-	68	4.4e-11	54.2	3.1	1	1	1.9e-14	1.3e-10	52.6515464782715	3.10	1	67	327	388	327	389	0.89	MoaA/nirJ/pqqE cofactor biosynthesis protein		0
A0A1E3XEW9_9BACT	A0A1E3XEW9_9BACT	387	SPASM	-	68	4.6e-11	54.1	0.8	1	1	1.5e-14	1.0e-10	52.9782638549805	0.79	1	68	320	382	320	382	0.87	Heme biosynthesis protein		0
K4KYA1_9FIRM	K4KYA1_9FIRM	430	SPASM	-	68	4.9e-11	54.0	1.3	1	1	2.9e-14	2.0e-10	52.0518455505371	1.33	1	67	319	399	319	400	0.83	Radical SAM domain protein		0
R6KWP4_9CLOT	R6KWP4_9CLOT	291	SPASM	-	68	4.9e-11	54.0	0.3	1	1	2.4e-14	1.6e-10	52.315299987793	0.28	1	67	218	283	218	284	0.87	Radical SAM domain protein		0
F0SZC9_SYNGF	F0SZC9_SYNGF	345	SPASM	-	68	5.4e-11	53.9	2.0	1	1	7.9e-15	5.4e-11	53.8790168762207	1.95	1	68	247	313	247	313	0.87	Radical SAM domain protein		0
A0A0J8DEM3_CLOCY	A0A0J8DEM3_CLOCY	337	SPASM	-	68	6.5e-11	53.6	2.3	1	1	9.6e-15	6.5e-11	53.6102981567383	2.30	1	67	248	313	248	314	0.86	Radical SAM domain protein		0
A0A401I3A7_9BACL	A0A401I3A7_9BACL	364	SPASM	-	68	7.4e-11	53.4	0.2	1	1	2.1e-14	1.4e-10	52.4958953857422	0.23	1	67	297	358	297	359	0.93	Radical SAM protein		0
H1XSZ8_9BACT	H1XSZ8_9BACT	359	SPASM	-	68	8.1e-11	53.3	2.1	1	1	2.9e-14	1.9e-10	52.0952453613281	2.15	1	68	268	335	268	335	0.86	Radical SAM domain protein		0
