"","dendcut120"
"WP_023573313_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_PFAM",48
"WP_006425699_Proteobacteria_NA_Deltaproteobacteria_NA_Deltaproteobacteria_PFAM",47
"WP_038982648_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_BLAST",46
"WP_052966841_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_BLAST",46
"WP_030130566_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_BLAST",46
"WP_006656794_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",74
"WP_012056734_Thermotogae_Thermotogae_Thermotogales_Fervidobacteriaceae_Thermosipho_PFAM",73
"WP_021167774_Firmicutes_Negativicutes_Selenomonadales_Sporomusaceae_Sporomusa_PFAM",72
"WP_016298408_Firmicutes_Terrabacteria_group_Clostridiales_NA_Lachnospiraceae_PFAM",71
"WP_014958876_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacula_PFAM",70
"WP_034553700_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",69
"WP_023930318_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Helicobacteraceae_Helicobacter_PFAM",68
"WP_012857981_Proteobacteria_Epsilonproteobacteria_Campylobacterales_Campylobacteraceae_Sulfurospirillum_PFAM",67
"WP_066134467_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Haematospirillum_PFAM",67
"WP_011390553_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Rhodospirillum_PFAM",67
"WP_075600514_Cyanobacteria_No_class_Synechococcales_Leptolyngbyaceae_Leptolyngbya_PFAM",66
"WP_015173938_Cyanobacteria_No_class_Nostocales_Rivulariaceae_Calothrix_PFAM",66
"WP_007353958_Cyanobacteria_No_class_Oscillatoriales_Microcoleaceae_Kamptonema_PFAM",66
"WP_023074482_Cyanobacteria_No_class_Synechococcales_Leptolyngbyaceae_Leptolyngbya_PFAM",66
"WP_041042859_Cyanobacteria_No_class_Nostocales_Tolypothrichaceae_Tolypothrix_PFAM",66
"WP_069700618_Firmicutes_Bacilli_Bacillales_No_family_Desulfuribacillus_PFAM",65
"WP_006193461_Firmicutes_Negativicutes_Selenomonadales_Selenomonadaceae_Selenomonas_PFAM",64
"WP_014240879_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Azospirillum_PFAM",63
"WP_074649736_Firmicutes_Terrabacteria_group_Clostridiaceae_NA_Clostridium_PFAM",62
"WP_066884084_Proteobacteria_Betaproteobacteria_Rhodocyclales_Azonexaceae_Dechloromonas_PFAM",62
"WP_062487985_Nitrospirae_Nitrospira_Nitrospirales_Nitrospiraceae_Nitrospira_PFAM",62
"WP_071157762_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",62
"WP_069296676_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_Methylophaga_PFAM",62
"WP_044076670_Cyanobacteria_No_class_Synechococcales_Prochlorotrichaceae_Prochlorothrix_PFAM",62
"WP_067552961_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Oceanibaculum_PFAM",62
"WP_039288203_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Novosphingobium_PFAM",62
"WP_007195983_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Hoeflea_PFAM",62
"WP_028738928_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Rhizobium_PFAM",62
"WP_069296679_Proteobacteria_Gammaproteobacteria_Thiotrichales_Piscirickettsiaceae_Methylophaga_PFAM",62
"WP_011340842_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",62
